model,macro_f1,micro_f1,per_label_f1,per_label_precision,per_label_recall,per_label_support,method,hamming_loss,conf_matrices
SGDClassifier,0.696879452,0.715017525,[0.73438956 0.66666667 0.76973684 0.61672474],[0.71766849 0.56696429 0.7027027  0.48760331],[0.7519084  0.8089172  0.85090909 0.83886256],[1048  157  275  211],tfidf_5000,0.102701127,"[array([[1215,  310],
       [ 260,  788]]), array([[2319,   97],
       [  30,  127]]), array([[2199,   99],
       [  41,  234]]), array([[2176,  186],
       [  34,  177]])]"
MultinomialNB,0.322965606,0.558707361,[0.68179576 0.10778443 0.31818182 0.18410042],[0.70582227 0.9        0.72727273 0.78571429],[0.65935115 0.05732484 0.20363636 0.1042654 ],[1048  157  275  211],tfidf_5000,0.119413136,"[array([[1237,  288],
       [ 357,  691]]), array([[2415,    1],
       [ 148,    9]]), array([[2277,   21],
       [ 219,   56]]), array([[2356,    6],
       [ 189,   22]])]"
NeuralNetwork,0.641176805,0.666666667,[0.68844697 0.6271777  0.66796875 0.5811138 ],[0.68327068 0.69230769 0.72151899 0.59405941],[0.69370229 0.57324841 0.62181818 0.56872038],[1048  157  275  211],tfidf_5000,0.107656432,"[array([[1188,  337],
       [ 321,  727]]), array([[2376,   40],
       [  67,   90]]), array([[2232,   66],
       [ 104,  171]]), array([[2280,   82],
       [  91,  120]])]"
LogisticRegression,0.612465124,0.662888122,[0.73659889 0.48428835 0.68876081 0.54021244],[0.71415771 0.34114583 0.57040573 0.39732143],[0.76049618 0.8343949  0.86909091 0.8436019 ],[1048  157  275  211],bert_minilm,0.132918772,"[array([[1206,  319],
       [ 251,  797]]), array([[2163,  253],
       [  26,  131]]), array([[2118,  180],
       [  36,  239]]), array([[2092,  270],
       [  33,  178]])]"
LinearSVM,0.616729825,0.665837892,[0.73373327 0.48752399 0.69767442 0.54798762],[0.71045576 0.3489011  0.5811138  0.40689655],[0.75858779 0.8089172  0.87272727 0.83886256],[1048  157  275  211],bert_minilm,0.130586864,"[array([[1201,  324],
       [ 253,  795]]), array([[2179,  237],
       [  30,  127]]), array([[2125,  173],
       [  35,  240]]), array([[2104,  258],
       [  34,  177]])]"
SGDClassifier,0.626175211,0.676470588,[0.74943971 0.49162011 0.72698413 0.53665689],[0.70667794 0.34736842 0.64507042 0.38853503],[0.79770992 0.84076433 0.83272727 0.86729858],[1048  157  275  211],bert_minilm,0.128254955,"[array([[1178,  347],
       [ 212,  836]]), array([[2168,  248],
       [  25,  132]]), array([[2172,  126],
       [  46,  229]]), array([[2074,  288],
       [  28,  183]])]"
LogisticRegression,0.614140859,0.669546436,[0.75675676 0.47766323 0.68232044 0.53982301],[0.7277533  0.32705882 0.55011136 0.39186296],[0.78816794 0.88535032 0.89818182 0.86729858],[1048  157  275  211],bert_mpnet,0.133793237,"[array([[1216,  309],
       [ 222,  826]]), array([[2130,  286],
       [  18,  139]]), array([[2096,  202],
       [  28,  247]]), array([[2078,  284],
       [  28,  183]])]"
LinearSVM,0.629919427,0.682445759,[0.75673209 0.51764706 0.70231214 0.54298643],[0.72528434 0.37393768 0.58273381 0.39823009],[0.79103053 0.84076433 0.88363636 0.85308057],[1048  157  275  211],bert_mpnet,0.125145744,"[array([[1211,  314],
       [ 219,  829]]), array([[2195,  221],
       [  25,  132]]), array([[2124,  174],
       [  32,  243]]), array([[2090,  272],
       [  31,  180]])]"
SGDClassifier,0.607859698,0.665724382,[0.76070302 0.45307443 0.6854725  0.53218884],[0.72075149 0.30368764 0.55990783 0.38114754],[0.80534351 0.89171975 0.88363636 0.88151659],[1048  157  275  211],bert_mpnet,0.137874077,"[array([[1198,  327],
       [ 204,  844]]), array([[2095,  321],
       [  17,  140]]), array([[2107,  191],
       [  32,  243]]), array([[2060,  302],
       [  25,  186]])]"
LogisticRegression,0.647089748,0.695673671,[0.76155938 0.53488372 0.71824818 0.57366771],[0.7253886  0.38440111 0.6        0.42857143],[0.80152672 0.87898089 0.89454545 0.86729858],[1048  157  275  211],bert_baai,0.119607462,"[array([[1207,  318],
       [ 208,  840]]), array([[2195,  221],
       [  19,  138]]), array([[2134,  164],
       [  29,  246]]), array([[2118,  244],
       [  28,  183]])]"
LinearSVM,0.65565544,0.699191102,[0.75205105 0.5398773  0.73402675 0.59666667],[0.71989529 0.39759036 0.62060302 0.46015424],[0.78721374 0.84076433 0.89818182 0.84834123],[1048  157  275  211],bert_baai,0.115623785,"[array([[1204,  321],
       [ 223,  825]]), array([[2216,  200],
       [  25,  132]]), array([[2147,  151],
       [  28,  247]]), array([[2152,  210],
       [  32,  179]])]"
SGDClassifier,0.669316687,0.70704445,[0.75306315 0.59276018 0.73177843 0.59966499],[0.74394786 0.45964912 0.6107056  0.46373057],[0.76240458 0.8343949  0.91272727 0.84834123],[1048  157  275  211],bert_baai,0.109502526,"[array([[1250,  275],
       [ 249,  799]]), array([[2262,  154],
       [  26,  131]]), array([[2138,  160],
       [  24,  251]]), array([[2155,  207],
       [  32,  179]])]"
Fine-TuneBert,0.7643,0.77,,,,,Fine-Tuning,0.0797,
